"task","year","bio"
1,1980,"BIO01"
2,1981,"BIO01"
3,1982,"BIO01"
4,1983,"BIO01"
5,1984,"BIO01"
6,1985,"BIO01"
7,1986,"BIO01"
8,1987,"BIO01"
9,1988,"BIO01"
10,1989,"BIO01"
11,1990,"BIO01"
12,1991,"BIO01"
13,1992,"BIO01"
14,1993,"BIO01"
15,1994,"BIO01"
16,1995,"BIO01"
17,1996,"BIO01"
18,1997,"BIO01"
19,1998,"BIO01"
20,1999,"BIO01"
21,2000,"BIO01"
22,2001,"BIO01"
23,2002,"BIO01"
24,2003,"BIO01"
25,2004,"BIO01"
26,2005,"BIO01"
27,2006,"BIO01"
28,2007,"BIO01"
29,2008,"BIO01"
30,2009,"BIO01"
31,2010,"BIO01"
32,2011,"BIO01"
33,2012,"BIO01"
34,2013,"BIO01"
35,2014,"BIO01"
36,2015,"BIO01"
37,2016,"BIO01"
38,2017,"BIO01"
39,2018,"BIO01"
40,1980,"BIO02"
41,1981,"BIO02"
42,1982,"BIO02"
43,1983,"BIO02"
44,1984,"BIO02"
45,1985,"BIO02"
46,1986,"BIO02"
47,1987,"BIO02"
48,1988,"BIO02"
49,1989,"BIO02"
50,1990,"BIO02"
51,1991,"BIO02"
52,1992,"BIO02"
53,1993,"BIO02"
54,1994,"BIO02"
55,1995,"BIO02"
56,1996,"BIO02"
57,1997,"BIO02"
58,1998,"BIO02"
59,1999,"BIO02"
60,2000,"BIO02"
61,2001,"BIO02"
62,2002,"BIO02"
63,2003,"BIO02"
64,2004,"BIO02"
65,2005,"BIO02"
66,2006,"BIO02"
67,2007,"BIO02"
68,2008,"BIO02"
69,2009,"BIO02"
70,2010,"BIO02"
71,2011,"BIO02"
72,2012,"BIO02"
73,2013,"BIO02"
74,2014,"BIO02"
75,2015,"BIO02"
76,2016,"BIO02"
77,2017,"BIO02"
78,2018,"BIO02"
79,1980,"BIO03"
80,1981,"BIO03"
81,1982,"BIO03"
82,1983,"BIO03"
83,1984,"BIO03"
84,1985,"BIO03"
85,1986,"BIO03"
86,1987,"BIO03"
87,1988,"BIO03"
88,1989,"BIO03"
89,1990,"BIO03"
90,1991,"BIO03"
91,1992,"BIO03"
92,1993,"BIO03"
93,1994,"BIO03"
94,1995,"BIO03"
95,1996,"BIO03"
96,1997,"BIO03"
97,1998,"BIO03"
98,1999,"BIO03"
99,2000,"BIO03"
100,2001,"BIO03"
101,2002,"BIO03"
102,2003,"BIO03"
103,2004,"BIO03"
104,2005,"BIO03"
105,2006,"BIO03"
106,2007,"BIO03"
107,2008,"BIO03"
108,2009,"BIO03"
109,2010,"BIO03"
110,2011,"BIO03"
111,2012,"BIO03"
112,2013,"BIO03"
113,2014,"BIO03"
114,2015,"BIO03"
115,2016,"BIO03"
116,2017,"BIO03"
117,2018,"BIO03"
118,1980,"BIO04"
119,1981,"BIO04"
120,1982,"BIO04"
121,1983,"BIO04"
122,1984,"BIO04"
123,1985,"BIO04"
124,1986,"BIO04"
125,1987,"BIO04"
126,1988,"BIO04"
127,1989,"BIO04"
128,1990,"BIO04"
129,1991,"BIO04"
130,1992,"BIO04"
131,1993,"BIO04"
132,1994,"BIO04"
133,1995,"BIO04"
134,1996,"BIO04"
135,1997,"BIO04"
136,1998,"BIO04"
137,1999,"BIO04"
138,2000,"BIO04"
139,2001,"BIO04"
140,2002,"BIO04"
141,2003,"BIO04"
142,2004,"BIO04"
143,2005,"BIO04"
144,2006,"BIO04"
145,2007,"BIO04"
146,2008,"BIO04"
147,2009,"BIO04"
148,2010,"BIO04"
149,2011,"BIO04"
150,2012,"BIO04"
151,2013,"BIO04"
152,2014,"BIO04"
153,2015,"BIO04"
154,2016,"BIO04"
155,2017,"BIO04"
156,2018,"BIO04"
157,1980,"BIO05"
158,1981,"BIO05"
159,1982,"BIO05"
160,1983,"BIO05"
161,1984,"BIO05"
162,1985,"BIO05"
163,1986,"BIO05"
164,1987,"BIO05"
165,1988,"BIO05"
166,1989,"BIO05"
167,1990,"BIO05"
168,1991,"BIO05"
169,1992,"BIO05"
170,1993,"BIO05"
171,1994,"BIO05"
172,1995,"BIO05"
173,1996,"BIO05"
174,1997,"BIO05"
175,1998,"BIO05"
176,1999,"BIO05"
177,2000,"BIO05"
178,2001,"BIO05"
179,2002,"BIO05"
180,2003,"BIO05"
181,2004,"BIO05"
182,2005,"BIO05"
183,2006,"BIO05"
